Property type,Locality,Subtype,Construction year,Price,Type sale,Bedrooms,Living area,Equipped kitchen,Furnished,Bathrooms,Open fire,EPC score,Terrace,Terrace Area,Garden,Garden Area,Land surface,Facades,Swimming pool,Building state,URL
HOUSE,8500,HOUSE,1951,625000,New classified,2,None,1,0,1,1,B,1,None,0,None,320,4,0,None,https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20365447
HOUSE,6530,HOUSE,2024,847171,New classified,7,446,1,0,4,0,A,1,40,1,700,1080,4,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/thuin/6530/20365438
APARTMENT,7000,FLAT_STUDIO,2009,115000,New classified,0,31,1,0,0,0,B,0,None,0,None,0,4,0,GOOD,https://www.immoweb.be/en/classified/flat-studio/for-sale/mons/7000/20365434
HOUSE,2580,HOUSE,2019,449000,New classified,3,186,1,0,1,0,B,1,None,0,None,340,None,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/putte/2580/20365433
APARTMENT,5190,APARTMENT,2024,263000,New classified,3,115,1,0,0,0,A,1,7,0,None,0,4,0,None,https://www.immoweb.be/en/classified/apartment/for-sale/moustier-sur-sambre/5190/20365430
HOUSE,5100,HOUSE,None,240000,New classified,3,120,1,0,1,0,C,1,24,0,None,179,2,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/house/for-sale/jambes/5100/20365429
APARTMENT,2140,APARTMENT,1964,172000,New classified,2,66,1,0,1,0,C,1,2,0,None,0,3,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/20365428
HOUSE,8830,VILLA,None,1222000,New classified,5,502,None,0,2,0,F,0,None,0,None,3187,None,0,None,https://www.immoweb.be/en/classified/villa/for-sale/hooglede/8830/20365421
HOUSE,1410,VILLA,1969,1595000,New classified,6,535,1,0,3,1,D,1,1,1,4590,4590,4,0,GOOD,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/20365427
APARTMENT,8400,APARTMENT,None,199000,New classified,2,93,0,0,1,0,C,0,None,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20365419
APARTMENT,2270,APARTMENT,2014,377000,New classified,3,136,1,0,1,0,B,1,None,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/herenthout/2270/20365413
HOUSE,3500,HOUSE,2007,319000,New classified,2,128,1,0,1,0,B,0,None,0,None,244,2,1,GOOD,https://www.immoweb.be/en/classified/house/for-sale/hasselt/3500/20365416
APARTMENT,3920,APARTMENT,2021,559000,New classified,3,143,None,0,1,0,A,1,None,0,None,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/lommel/3920/20360813
HOUSE,3580,HOUSE,None,289000,New classified,3,207,1,0,2,1,F,1,None,0,None,850,4,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/beringen/3580/20365415
